bot_name,user_id,session_id,channel,language,bot_message,user_message,timestamp,_synthetic
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-03-23 06:58:28,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-03-23 06:58:58,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,,I need my account statement for last 3 months,2026-03-23 06:59:43,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,"I'm sorry, I didn't quite understand. Could you please rephrase in standard Arabic or English?",,2026-03-23 07:00:13,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,,I need my account statement for last 3 months,2026-03-23 07:00:58,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,I'm having difficulty understanding your request. Let me connect you with an agent who can assist.,,2026-03-23 07:01:28,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""live_agent"", ""text"": ""Connecting you to our multilingual support team.""}}",,2026-03-23 07:01:58,True
SmartAssist Instance,u-bd2c7b413787cecfe16b4b26df,sess-68354b72a5da3f11,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""SYSTEM"", ""text"": ""Transferring you to our Accounts team. Average wait time: 3-5 minutes.""}}",,2026-03-23 07:02:28,True
SmartAssist Instance,u-5fe63a44b515387b1189e31da9,sess-c32608a96ab2c9a3,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2025-12-04 06:42:49,True
SmartAssist Instance,u-5fe63a44b515387b1189e31da9,sess-c32608a96ab2c9a3,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2025-12-04 06:43:19,True
SmartAssist Instance,u-5fe63a44b515387b1189e31da9,sess-c32608a96ab2c9a3,Web/Mobile Client,en,,What is my credit card balance?,2025-12-04 06:44:04,True
SmartAssist Instance,u-5fe63a44b515387b1189e31da9,sess-c32608a96ab2c9a3,Web/Mobile Client,en,"Your credit card outstanding balance is AED 12,372.32.",,2025-12-04 06:44:34,True
SmartAssist Instance,u-5fe63a44b515387b1189e31da9,sess-c32608a96ab2c9a3,Web/Mobile Client,en,Thank you for banking with Mashreq. Have a great day!,,2025-12-04 06:45:04,True
SmartAssist Instance,u-72c04e55917a8dae2a2937ad0a,sess-6125daf81d161d9a,Internet Banking,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-03-28 20:08:24,True
SmartAssist Instance,u-72c04e55917a8dae2a2937ad0a,sess-6125daf81d161d9a,Internet Banking,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-03-28 20:08:54,True
SmartAssist Instance,u-72c04e55917a8dae2a2937ad0a,sess-6125daf81d161d9a,Internet Banking,en,,I need my account statement for last 3 months,2026-03-28 20:09:39,True
SmartAssist Instance,u-72c04e55917a8dae2a2937ad0a,sess-6125daf81d161d9a,Internet Banking,en,Your account statement for the last 3 months has been sent to your registered email address.,,2026-03-28 20:10:09,True
SmartAssist Instance,u-72c04e55917a8dae2a2937ad0a,sess-6125daf81d161d9a,Internet Banking,en,Thank you for banking with Mashreq. Have a great day!,,2026-03-28 20:10:39,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2025-12-27 14:15:18,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2025-12-27 14:15:48,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,,I want to set a savings goal,2025-12-27 14:16:33,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"I'm sorry, I didn't quite understand that. Could you please rephrase your request?",,2025-12-27 14:17:03,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,,Let me try again. I want to set a savings goal,2025-12-27 14:17:48,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"I'm sorry, I didn't quite understand that. Could you please rephrase your request?",,2025-12-27 14:18:18,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,,"I mean, I need help with savings goal setup",2025-12-27 14:19:03,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"I'm sorry, I didn't quite understand that. Could you please rephrase your request?",,2025-12-27 14:19:33,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,,Can you understand me? I want to set a savings goal,2025-12-27 14:20:18,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,I'm having trouble understanding your request. Let me connect you to an agent who can assist you better.,,2025-12-27 14:20:48,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"{""type"": ""template"", ""payload"": {""template_type"": ""live_agent"", ""text"": ""Connecting you to a live agent.""}}",,2025-12-27 14:21:18,True
SmartAssist Instance,u-0e7032f5b5af4830e7347c2173,sess-55f5b13f5391b4e7,Internet Banking,en,"{""type"": ""template"", ""payload"": {""template_type"": ""SYSTEM"", ""text"": ""Transferring you to our Financial Advisory team. Average wait time: 3-5 minutes.""}}",,2025-12-27 14:21:48,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-03-12 11:42:22,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-03-12 11:42:52,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,,I want to send money to UK,2026-03-12 11:43:37,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,This request must be handled by a specialist as per Mashreq Bank's service policies.,,2026-03-12 11:44:07,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,This request requires review by our specialist team. I'll connect you now.,,2026-03-12 11:44:37,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,"{""type"": ""template"", ""payload"": {""template_type"": ""live_agent"", ""text"": ""Connecting you to our Remittances specialist.""}}",,2026-03-12 11:45:07,True
SmartAssist Instance,u-1858eb2f65547da93a4f410da2,sess-a088f5e12aac0cca,IVR,ar,"{""type"": ""template"", ""payload"": {""template_type"": ""SYSTEM"", ""text"": ""Transferring you to our Remittances team. Average wait time: 3-5 minutes.""}}",,2026-03-12 11:45:37,True
SmartAssist Instance,u-b8361ddbfa9fd4ed45e5e89614,sess-5e16b93b3fc771c0,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-03-06 07:08:17,True
SmartAssist Instance,u-b8361ddbfa9fd4ed45e5e89614,sess-5e16b93b3fc771c0,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-03-06 07:08:47,True
SmartAssist Instance,u-b8361ddbfa9fd4ed45e5e89614,sess-5e16b93b3fc771c0,WhatsApp,en,,My transfer hasn't arrived. Reference number 45274462,2026-03-06 07:09:32,True
SmartAssist Instance,u-b8361ddbfa9fd4ed45e5e89614,sess-5e16b93b3fc771c0,WhatsApp,en,I've processed your request for International Remittance Status Tracking. Your reference number is REF94929036.,,2026-03-06 07:10:02,True
SmartAssist Instance,u-b8361ddbfa9fd4ed45e5e89614,sess-5e16b93b3fc771c0,WhatsApp,en,Thank you for banking with Mashreq. Have a great day!,,2026-03-06 07:10:32,True
SmartAssist Instance,u-152d8b10c6d32bab3a830432ec,sess-e95c2c60ebff7904,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-01-08 02:55:37,True
SmartAssist Instance,u-152d8b10c6d32bab3a830432ec,sess-e95c2c60ebff7904,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-01-08 02:56:07,True
SmartAssist Instance,u-152d8b10c6d32bab3a830432ec,sess-e95c2c60ebff7904,Web/Mobile Client,en,,I need to block my credit card urgently,2026-01-08 02:56:52,True
SmartAssist Instance,u-152d8b10c6d32bab3a830432ec,sess-e95c2c60ebff7904,Web/Mobile Client,en,I've processed your request for Credit Card Block / Replacement. Your reference number is REF37154689.,,2026-01-08 02:57:22,True
SmartAssist Instance,u-152d8b10c6d32bab3a830432ec,sess-e95c2c60ebff7904,Web/Mobile Client,en,Thank you for banking with Mashreq. Have a great day!,,2026-01-08 02:57:52,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2025-12-24 05:01:53,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2025-12-24 05:02:23,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,,What is the status of complaint 865470?,2025-12-24 05:03:08,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,I've processed your request for Complaint Status Followup. Your reference number is REF91549765.,,2025-12-24 05:03:38,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,,"Thank you, that was helpful",2025-12-24 05:04:23,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,You're welcome! Is there anything else I can help you with?,,2025-12-24 05:04:53,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,,No that's all,2025-12-24 05:05:38,True
SmartAssist Instance,u-feba26fb437118b1ff92b594f3,sess-efcd000846b4ab04,Web/Mobile Client,en,Thank you for banking with Mashreq. Have a great day!,,2025-12-24 05:06:08,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-02-09 12:53:38,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-02-09 12:54:08,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,,I need to speak to an agent,2026-02-09 12:54:53,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,I understand you'd prefer to speak with one of our team members.,,2026-02-09 12:55:23,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""live_agent"", ""text"": ""Connecting you to a live agent as requested.""}}",,2026-02-09 12:55:53,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,"{""type"": ""template"", ""payload"": {""template_type"": ""SYSTEM"", ""text"": ""Transferring you to our Loans team. Average wait time: 3-5 minutes.""}}",,2026-02-09 12:56:23,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,"Hello, this is Nour Ibrahim. How can I assist you today?",,2026-02-09 12:59:23,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,,"Yes, I wanted to get help with my account but the bot couldn't help.",2026-02-09 13:00:08,True
SmartAssist Instance,u-4309ccad3686f927aa38829d70,sess-c4349e059750c97b,WhatsApp,en,"Of course, I can help with that. Let me pull up your account. Can you confirm your Emirates ID?",,2026-02-09 13:00:38,True
SmartAssist Instance,u-e99a2500e5094d6dfd6afebe59,sess-2f0cb5a7bf5e185c,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2026-03-24 19:43:32,True
SmartAssist Instance,u-e99a2500e5094d6dfd6afebe59,sess-2f0cb5a7bf5e185c,Web/Mobile Client,en,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2026-03-24 19:44:02,True
SmartAssist Instance,u-e99a2500e5094d6dfd6afebe59,sess-2f0cb5a7bf5e185c,Web/Mobile Client,en,,What is the current exchange rate for USD to AED?,2026-03-24 19:44:47,True
SmartAssist Instance,u-e99a2500e5094d6dfd6afebe59,sess-2f0cb5a7bf5e185c,Web/Mobile Client,en,The current exchange rate is 1 USD = 3.6741 AED. This rate is subject to change.,,2026-03-24 19:45:17,True
SmartAssist Instance,u-e99a2500e5094d6dfd6afebe59,sess-2f0cb5a7bf5e185c,Web/Mobile Client,en,Thank you for banking with Mashreq. Have a great day!,,2026-03-24 19:45:47,True
SmartAssist Instance,u-ed4f4b5291eb3054652a52e7cb,sess-486353ea850c11c1,Web/Mobile Client,ar,"{""type"": ""template"", ""payload"": {""template_type"": ""welcome_template"", ""text"": ""Welcome to Mashreq Bank. How can I assist you today?""}}",,2025-11-02 13:08:50,True
SmartAssist Instance,u-ed4f4b5291eb3054652a52e7cb,sess-486353ea850c11c1,Web/Mobile Client,ar,"{""type"": ""template"", ""payload"": {""template_type"": ""quick_replies"", ""text"": ""Please select a category:"", ""quick_replies"": [""Account Services"", ""Card Services"", ""Loans"", ""Remittances"", ""Other""]}}",,2025-11-02 13:09:20,True
SmartAssist Instance,u-ed4f4b5291eb3054652a52e7cb,sess-486353ea850c11c1,Web/Mobile Client,ar,,I want to set up a standing order,2025-11-02 13:10:05,True
SmartAssist Instance,u-ed4f4b5291eb3054652a52e7cb,sess-486353ea850c11c1,Web/Mobile Client,ar,I've processed your request for Standing Order Setup / Cancellation. Your reference number is REF52148834.,,2025-11-02 13:10:35,True
SmartAssist Instance,u-ed4f4b5291eb3054652a52e7cb,sess-486353ea850c11c1,Web/Mobile Client,ar,Thank you for banking with Mashreq. Have a great day!,,2025-11-02 13:11:05,True
